# (e,e'p)X Central Kinematics Summary
# Beam Energy (Ei) = 10.600 GeV
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
#

# select a lower SHMS central momentum (8.55 GeV/c, which is still within the acceptance.)
# change Xbj to  0.95 as staring point

#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.1400 	 1.2000 	 9.6674 	 8.2091 	 1.6046 	 55.7843 	 1.7233 	 53.2274 	 30.7500 	 2.5569 	 2.1000
  0.1500 	 1.2000 	 9.6674 	 8.2091 	 1.6028 	 56.3081 	 1.7233 	 53.2274 	 35.0466 	 3.0807 	 2.1000 -------------> Pr = 150 MeV/c, Q2 = 2.1, x = 1.2
  0.1600 	 1.2000 	 9.6674 	 8.2091 	 1.6009 	 56.7837 	 1.7233 	 53.2274 	 38.3627 	 3.5563 	 2.1000
  0.1700 	 1.2000 	 9.6674 	 8.2091 	 1.5989 	 57.2284 	 1.7233 	 53.2274 	 41.0133 	 4.0009 	 2.1000
  0.1800 	 1.2000 	 9.6674 	 8.2091 	 1.5968 	 57.6515 	 1.7233 	 53.2274 	 43.1792 	 4.4240 	 2.1000
  0.1900 	 1.2000 	 9.6674 	 8.2091 	 1.5945 	 58.0587 	 1.7233 	 53.2274 	 44.9755 	 4.8312 	 2.1000
  0.2000 	 1.2000 	 9.6674 	 8.2091 	 1.5922 	 58.4537 	 1.7233 	 53.2274 	 46.4807 	 5.2262 	 2.1000
  0.2100 	 1.2000 	 9.6674 	 8.2091 	 1.5897 	 58.8391 	 1.7233 	 53.2274 	 47.7511 	 5.6116 	 2.1000
  0.2200 	 1.2000 	 9.6674 	 8.2091 	 1.5871 	 59.2167 	 1.7233 	 53.2274 	 48.8284 	 5.9893 	 2.1000
  0.2300 	 1.2000 	 9.6674 	 8.2091 	 1.5844 	 59.5880 	 1.7233 	 53.2274 	 49.7445 	 6.3606 	 2.1000
  0.2400 	 1.2000 	 9.6674 	 8.2091 	 1.5816 	 59.9541 	 1.7233 	 53.2274 	 50.5244 	 6.7266 	 2.1000
  0.2500 	 1.2000 	 9.6674 	 8.2091 	 1.5786 	 60.3157 	 1.7233 	 53.2274 	 51.1878 	 7.0882 	 2.1000
  0.2600 	 1.2000 	 9.6674 	 8.2091 	 1.5756 	 60.6734 	 1.7233 	 53.2274 	 51.7509 	 7.4460 	 2.1000
  0.2700 	 1.2000 	 9.6674 	 8.2091 	 1.5724 	 61.0280 	 1.7233 	 53.2274 	 52.2267 	 7.8005 	 2.1000
  0.2800 	 1.2000 	 9.6674 	 8.2091 	 1.5692 	 61.3797 	 1.7233 	 53.2274 	 52.6261 	 8.1522 	 2.1000
  0.2900 	 1.2000 	 9.6674 	 8.2091 	 1.5658 	 61.7289 	 1.7233 	 53.2274 	 52.9583 	 8.5015 	 2.1000
  0.3000 	 1.2000 	 9.6674 	 8.2091 	 1.5623 	 62.0760 	 1.7233 	 53.2274 	 53.2310 	 8.8485 	 2.1000
  0.3100 	 1.2000 	 9.6674 	 8.2091 	 1.5587 	 62.4212 	 1.7233 	 53.2274 	 53.4507 	 9.1937 	 2.1000
  0.3200 	 1.2000 	 9.6674 	 8.2091 	 1.5550 	 62.7647 	 1.7233 	 53.2274 	 53.6231 	 9.5373 	 2.1000
  0.3300 	 1.2000 	 9.6674 	 8.2091 	 1.5512 	 63.1067 	 1.7233 	 53.2274 	 53.7530 	 9.8793 	 2.1000
  0.3400 	 1.2000 	 9.6674 	 8.2091 	 1.5472 	 63.4474 	 1.7233 	 53.2274 	 53.8447 	 10.2200 	 2.1000
  0.3500 	 1.2000 	 9.6674 	 8.2091 	 1.5432 	 63.7870 	 1.7233 	 53.2274 	 53.9018 	 10.5596 	 2.1000
  0.3600 	 1.2000 	 9.6674 	 8.2091 	 1.5391 	 64.1255 	 1.7233 	 53.2274 	 53.9277 	 10.8981 	 2.1000
  0.3700 	 1.2000 	 9.6674 	 8.2091 	 1.5348 	 64.4631 	 1.7233 	 53.2274 	 53.9250 	 11.2357 	 2.1000
  0.3800 	 1.2000 	 9.6674 	 8.2091 	 1.5305 	 64.7998 	 1.7233 	 53.2274 	 53.8964 	 11.5724 	 2.1000
  0.3900 	 1.2000 	 9.6674 	 8.2091 	 1.5260 	 65.1359 	 1.7233 	 53.2274 	 53.8442 	 11.9084 	 2.1000
  0.4000 	 1.2000 	 9.6674 	 8.2091 	 1.5215 	 65.4712 	 1.7233 	 53.2274 	 53.7702 	 12.2438 	 2.1000  -------------> Pr = 400 MeV/c, Q2 = 2.1, x = 1.2
  0.4100 	 1.2000 	 9.6674 	 8.2091 	 1.5168 	 65.8060 	 1.7233 	 53.2274 	 53.6764 	 12.5786 	 2.1000
  0.4200 	 1.2000 	 9.6674 	 8.2091 	 1.5121 	 66.1403 	 1.7233 	 53.2274 	 53.5643 	 12.9129 	 2.1000
  0.4300 	 1.2000 	 9.6674 	 8.2091 	 1.5072 	 66.4741 	 1.7233 	 53.2274 	 53.4353 	 13.2467 	 2.1000
  0.4400 	 1.2000 	 9.6674 	 8.2091 	 1.5023 	 66.8076 	 1.7233 	 53.2274 	 53.2909 	 13.5801 	 2.1000
  0.4500 	 1.2000 	 9.6674 	 8.2091 	 1.4972 	 67.1407 	 1.7233 	 53.2274 	 53.1321 	 13.9133 	 2.1000
  0.4600 	 1.2000 	 9.6674 	 8.2091 	 1.4921 	 67.4735 	 1.7233 	 53.2274 	 52.9600 	 14.2461 	 2.1000
  0.4700 	 1.2000 	 9.6674 	 8.2091 	 1.4868 	 67.8061 	 1.7233 	 53.2274 	 52.7756 	 14.5787 	 2.1000
  0.4800 	 1.2000 	 9.6674 	 8.2091 	 1.4815 	 68.1385 	 1.7233 	 53.2274 	 52.5799 	 14.9111 	 2.1000
  0.4900 	 1.2000 	 9.6674 	 8.2091 	 1.4761 	 68.4708 	 1.7233 	 53.2274 	 52.3736 	 15.2434 	 2.1000
  0.5000 	 1.2000 	 9.6674 	 8.2091 	 1.4705 	 68.8030 	 1.7233 	 53.2274 	 52.1575 	 15.5755 	 2.1000

#  Carlos's comment: These are calculated central kinematics, assuming a fixed Q2 = 2.1 and xBj = 1.2 (for suppressing MEC and IC processes)
#  The th_nq variable is ~ 30 - 52 deg. From previous deuteron studies, the optimal th_nq ~ 40 deg, where FSI are significantly reduced.
#  Maybe these kinematics are OK, but we would need to do simulations to actually see how the distribution of th_nq looks like, and if the
#  rates are sufficient to get enough statistics given the time we have.

#  Simulate 1 hr of beam on target charge for deuteron, determine the (yield / mC) in 1 hr, and then scale to X hours, depending on the statistics we want as well as available time. Same for Carbon.
#  We do need sufficient generated events to minimize Monte Carlo error.

#  How would we scale the results of Carbon and deuteron simulations to other targets?  
